タイムスタンプ	商品名	商品URL	商品画像URL	価格	カテゴリ	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [シンプル]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [かわいい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [実用的・便利]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [かっこいい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [小さい/大きい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [ファビュラス]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [子供っぽい/大人っぽい]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [キラキラ]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [おもしろ]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [軽い/重い]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [和風]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [モダン/レトロ]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [流行りの]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [女性向け/男性向け]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [高級]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [デザイン重視]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [使い心地重視]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [ユニーク]	商品について、それぞれの単語がどのぐらい当てはまるかどうか入力 [手作り]
2024/03/16 23:12:17	ピエトロ 感謝の気持ちを贈る スープ ギフト 5食 箱入り【贈った人も貰った人も、あたたかい 】 スープギフト 常温保存 プチギフト プレゼント 母の日 女性 内祝い	https://www.amazon.co.jp/%E3%83%94%E3%82%A8%E3%83%88%E3%83%AD-%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%AESOUP%E3%82%AE%E3%83%95%E3%83%88-%E3%80%90%E6%B0%97%E6%8C%81%E3%81%A1%E3%81%8C%E4%BC%9D%E3%82%8F%E3%82%8B-%E3%82%B9%E3%83%BC%E3%83%97%E3%82%AE%E3%83%95%E3%83%88-%E3%82%B3%E3%83%BC%E3%83%B3%E3%83%9D%E3%82%BF%E3%83%BC%E3%82%B8%E3%83%A5/dp/B0BM4CN6JQ/ref=sr_1_6?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=1OGKIBQ1J21KW&dib=eyJ2IjoiMSJ9.wybosKkuqQeNsZjh-nmV9-YAntTxCg0Bsfbqmsos6YzLwkNoftNAIzcy6z6xy225agsmD58epKxwfnf1QJr03cI_QAfB6m7JqSr5o-TAbFkmp41FOyFFacdKbfJT9toLIaiyCXWOKZuMdhMotiv55GjYpSDlBc_Re9WVxq0SKQhsGDh4YKI9TauZd05AZjr5TENLTryag7spMUCTImfAvOx9u7Dq0P0OvvmoVQSpDB66_T0juqYI37i3B7_vJrCYiCi1wkRh26JgHyAgsuyzjmc6OsZBzXkgk8K3KPoavo8.dGth7a6VSzuFDR5D5yObGy0sy4q6QACHfIexsE1nBLI&dib_tag=se&keywords=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2B%E9%A3%9F%E3%81%B9%E7%89%A9&qid=1710598268&sprefix=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2B%E9%A3%9F%E3%81%B9%E7%89%A9%2Caps%2C177&sr=8-6&th=1	https://m.media-amazon.com/images/I/71QGTXbsMBL._AC_SX569_.jpg	2918	食品・スイーツ	4	2	5	1	3	1	3	1	1	2	1	3	2	3	2	2	5	2	2
2024/03/16 23:13:20	ヨックモック YOKUMOKU スイーツ お菓子 ギフト 洋菓子 詰め合わせ プレゼント シガール 個包装 シガール 20本入り	https://www.amazon.co.jp/%E3%83%A8%E3%83%83%E3%82%AF%E3%83%A2%E3%83%83%E3%82%AF-YOKUMOKU-%E6%B4%8B%E8%8F%93%E5%AD%90-%E3%82%B7%E3%82%AC%E3%83%BC%E3%83%AB-20%E6%9C%AC%E5%85%A5%E3%82%8A/dp/B00C6VIA6C/ref=sr_1_9?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=1OGKIBQ1J21KW&dib=eyJ2IjoiMSJ9.wybosKkuqQeNsZjh-nmV9-YAntTxCg0Bsfbqmsos6YzLwkNoftNAIzcy6z6xy225agsmD58epKxwfnf1QJr03cI_QAfB6m7JqSr5o-TAbFkmp41FOyFFacdKbfJT9toLIaiyCXWOKZuMdhMotiv55GjYpSDlBc_Re9WVxq0SKQhsGDh4YKI9TauZd05AZjr5TENLTryag7spMUCTImfAvOx9u7Dq0P0OvvmoVQSpDB66_T0juqYI37i3B7_vJrCYiCi1wkRh26JgHyAgsuyzjmc6OsZBzXkgk8K3KPoavo8.dGth7a6VSzuFDR5D5yObGy0sy4q6QACHfIexsE1nBLI&dib_tag=se&keywords=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2B%E9%A3%9F%E3%81%B9%E7%89%A9&qid=1710598268&sprefix=%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%2B%E9%A3%9F%E3%81%B9%E7%89%A9%2Caps%2C177&sr=8-9&th=1	https://m.media-amazon.com/images/I/61lvxdnrE7L._AC_SX569_.jpg	1728	食品・スイーツ	4	3	3	2	3	1	3	1	1	2	1	3	3	3	2	1	1	1	1
2024/03/17 0:19:27	BESTUR ホットアイマスク USB 電熱式 かわいい リラックス 圧迫感なし 遮光 温度調節 自動電源オフ 安全保護 睡眠/昼休み/旅行/出張/ギフト/プレゼント アイマスクホット 温冷両用 目元美顔器	https://www.amazon.co.jp/dp/B0CJJBVK7C?starsLeft=1&ref_=cm_sw_r_cso_cp_apin_dp_67H7RBGNN27P9GW5NGHC_1	https://m.media-amazon.com/images/I/61Lry6PXTNL._AC_SL1000_.jpg	2990	趣味・ライフスタイル雑貨	2	5	5	1	3	2	3	2	4	2	2	3	3	2	2	4	4	3	1
2024/03/17 0:25:06	エポック社 シルバニアファミリー ハウス DH-08 はじめてのシルバニアファミリー＆ピクニックワゴン＆ショコラウサギのお父さん＆お母さん＆ふたごちゃん家具セット＆赤ちゃんコレクション	https://www.amazon.co.jp/%E3%82%A8%E3%83%9D%E3%83%83%E3%82%AF%E7%A4%BE-%E3%82%B7%E3%83%AB%E3%83%90%E3%83%8B%E3%82%A2%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC-%E3%83%8F%E3%82%A6%E3%82%B9-DH-08/dp/B0CGZP1SMW/ref=sr_1_1_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=9MLNGY05B0XX&dib=eyJ2IjoiMSJ9.nka-6SV3-hW7eQoSb-sT5hHwzPK2VKFEE504nsnG-iwqYyGwrVWesxwMtpXowU9kDTIOF9VKyMpeV3tUy6HIuDnUdzH4xzTvjUHMgq8WSp0kbW2A9v8KIhNM3mtYjNNaVkaR9vlKcnOoOxXgY27EvZXiI1D3Y_TOyWQelKoiJxYSPhd8WXQnHlgd7f7uQ9LvCVAHC_sKcD-uJNx32rdz95_4lBiTa_mGjUbb2JKvW93hjGmNd7Pm84pgJJbgeBi6NQdbb36_2SQh9KB_4RU6tiJ0wJjcWmTjkbQitem_wbQ.BOtwFwg-Gzgilcc0MBgiXzAtIFAhG_VC05idUoDfy1U&dib_tag=se&keywords=%E3%82%B7%E3%83%AB%E3%83%90%E3%83%8B%E3%82%A2%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC&qid=1710602458&sprefix=%E3%82%B7%E3%83%AB%E3%83%90%E3%83%8B%E3%82%A2%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%2Caps%2C171&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/61HC2jSq7sL._AC_SL1000_.jpg	12380	その他	2	5	3	1	2	1	1	1	2	2	1	4	2	1	1	4	3	3	1
2024/03/17 0:30:20	舞妓こすめ 金木犀クリーム ハンド&ボディクリーム 金木犀の香り 70グラム (x 1)	https://www.amazon.co.jp/%E8%88%9E%E5%A6%93%E3%81%93%E3%81%99%E3%82%81-%E9%87%91%E6%9C%A8%E7%8A%80%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E3%83%8F%E3%83%B3%E3%83%89-%E3%83%9C%E3%83%87%E3%82%A3%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E9%87%91%E6%9C%A8%E7%8A%80%E3%81%AE%E9%A6%99%E3%82%8A/dp/B0768GF9V9/ref=sr_1_6?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=35O7NRXDH8H74&dib=eyJ2IjoiMSJ9.TzvL_hwCZQXnYciUk_OLOqgi206PO9JAMqaAJivQIcef3cSaYkHBViWUIVT8-X8UGw7c58d69g-5BGScSi_71QjqFNrdeo8sBKdAIcI9wGxmTI730LDNPuPSf0bBHLgMahVUjuGJr9wKaXkwXLSY85SD43TJc-sK9yeX0OROUibKpeEDV9w8I1Gx-crRiC87n0AC1WVnZaU-8Y7UU9crCM3M3jq_l9vBvobeE-lBKOVAP1jH_q2OTBxoKngL21uXTe_JfLA-GA-ZpisAGk2kMvydtun0BKzDHmFKOTF_A2k.LK0Qv0vJF5_0b_1suQfQ6_YMpTUvKnGjKWXS2Rkjsq0&dib_tag=se&keywords=%E3%83%8F%E3%83%B3%E3%83%89%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0+%E9%87%91%E6%9C%A8%E7%8A%80&qid=1710602880&sprefix=%E3%83%8F%E3%83%B3%E3%83%89%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0+%E3%82%AD%E3%83%B3%E3%83%A2%E3%82%AF%E3%82%BB%E3%82%A4%2Caps%2C181&sr=8-6	https://m.media-amazon.com/images/I/71yeac1NB+L._AC_SL1500_.jpg	1540	コスメ・ビューティー	4	4	5	1	1	2	4	2	1	1	5	4	1	1	2	4	5	2	1
2024/03/17 15:07:30	Kindle (16GB) 6インチディスプレイ 電子書籍リーダー ブラック	https://www.amazon.co.jp/gp/product/B09SWTG9GF/ref=s9_bw_cg_compErea_md1_w?pf_rd_m=AN1VRQENFRJN5&pf_rd_s=merchandised-search-3&pf_rd_r=GS3T4PNP1YG5Q892N4R5&pf_rd_t=101&pf_rd_p=404c710c-4930-4f00-aa7d-70a1bdd44ab8&pf_rd_i=3933932051	https://m.media-amazon.com/images/I/51CJdDUQuIL._AC_SX425_.jpg	14980	趣味・ライフスタイル雑貨	4	1	5	5	3	2	5	2	2	2	1	1	3	3	4	4	5	2	1
2024/03/17 15:09:41	Meta Quest 3 128GB	https://www.amazon.co.jp/META-Meta-Quest-3-128GB/dp/B0CB3WXL12/ref=sr_1_5?crid=3PZDT5QI9HUUX&dib=eyJ2IjoiMSJ9.7xGPITbmEcKKl0lJb3RLy2I7jAGAHmslIgB1-YfhKvmEERlA37NtWpGCD4xCn5R6kT8hawnP25s1X0oARR0NUr6A4JbCV-wMIZJ9Rv5AykgYIeWEXbuxjKDWx7XhP99X1nc1T8GxNKpK8n201hoBa4GHR4WLtuvxXzZ0XMIJRE440JmZ5MTbiTqns4eroHG4Fi-Sl_kLA7xvLHIBIfWohbhFUFSrmaf7bdq8r5Cku0hTdUnYRoD5xXozOa_fHEtggBexHIbVOc0pYJDWo7VVQ5F3YHZoABMixlBVApw0UJc.VqBZlznILeltTTWbBciOHf2hpTmBSH6wdT55GayEgzE&dib_tag=se&keywords=meta+quest+3&qid=1710655716&sprefix=Meta+%2Caps%2C173&sr=8-5	https://m.media-amazon.com/images/I/61I66N7SE6L._AC_SX466_.jpg	74800	趣味・ライフスタイル雑貨	4	1	3	5	4	5	4	2	4	3	1	1	2	4	5	5	5	5	1
2024/03/17 15:20:27	BenQ ScreenBar スクリーンバー モニター	https://www.amazon.co.jp/BenQ-ScreenBar-%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%90%E3%83%BC-Reading-%E3%83%A2%E3%83%8B%E3%82%BF%E3%83%BC%E6%8E%9B%E3%81%91%E5%BC%8F%E3%83%A9%E3%82%A4%E3%83%88/dp/B0785D93KD/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.nteixVmQzus32xhp6DKK5CkDU99xdrBhKx2wSdW9uHd5kJWolQons5TTgH_QgrZELXNDcF6Y9CDcSADI6Bfde1LUX5RG82PBKnX4y5Tc-_SnvC2f3_8LgH1dR8f-WdjkxdyjlNfxZl0bahMaqJemwEIViRJY4JHVWvGUJ9dXvDUO0QugN7tIPrZ6EMscYt9zIxW-tmPdh0i8YVoWJR0DumrzCCtx2EIsLxnWMqOt8x1u87SCrgts95bHdPrownNeKHucU9rLDETidaRUuyJ2OvPkwNlrnzD7oEn0De6M__8.VsFugjQskfc0YJpeWG3jjhFmQ5zSDvFyT_IoiCGjp8U&dib_tag=se&keywords=%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96%E3%83%A9%E3%82%A4%E3%83%88%E3%83%BB%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88LED%E3%83%A9%E3%82%A4%E3%83%88&qid=1710656355&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/51EvGsRwIfL._AC_SX679_.jpg	12900	インテリア	4	1	5	4	3	3	4	1	1	2	1	2	3	3	3	4	5	4	1
2024/03/17 15:23:15	ワイヤレスイヤホン ブルートゥース イヤホン JGUG	https://www.amazon.co.jp/%E3%80%902024%E5%B9%B4%E6%96%B0%E5%B9%B4%E5%88%9D%E5%A3%B2%E3%82%8A-Bluetooth-%E3%82%A4%E3%83%A4%E3%83%9B%E3%83%B3%E3%80%91%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%A4%E3%83%A4%E3%83%9B%E3%83%B3-JGUG-%E4%B8%A1%E8%80%B3ENC%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0/dp/B0CHW15Z7B/ref=sr_1_1_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=3KMB2DRCJQH2N&dib=eyJ2IjoiMSJ9.KaS9eSYH1STYjOQpq6wxURPMBH3BJWhFg5-xh0ZN_NnNH1tkrd4cvuNdx7cTJgfRcplmc5wFHgwCYPAc4ZYDgnAC5QWP3W78FTjZeqtc5gd_WAAlUx6Cl_5wyOs7J8G7Z793PSEivp6nqFrr5ErG4R3v6eBFDK7rZ1C70DBLZOXWA1DU-UioAbR5AiYt6bdBzu-b9J_plB_3DA0mkRaNiUVYB5dhwCl2QTJEKlfKYYSff_Oj_K3VOU5hgse17rZ4L8QlXGqqvbVRgzoikPxrRq-7lI5FhnWYrkBX6vmzrYk.a59oJnuQ7d8VWmpgmY6abIV9rdpUPvySoj1lTq_vPRw&dib_tag=se&keywords=%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%A4%E3%83%A4%E3%83%9B%E3%83%B3&qid=1710656445&sprefix=%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%AC%E3%82%B9%E3%82%A4%E3%83%A4%E3%83%9B%E3%83%B3%2Caps%2C165&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/61UrlaIOYFL._AC_SX679_.jpg	2093	趣味・ライフスタイル雑貨	4	2	5	5	1	4	4	2	3	1	1	1	4	3	2	4	3	3	1
2024/03/17 15:25:37	YOGIN 加湿器 卓上 アロマディフューザー	https://www.amazon.co.jp/YOGIN-%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC-%E3%83%9F%E3%82%B9%E3%83%88%E9%87%8F3%E6%AE%B5%E9%9A%8E%E8%AA%BF%E6%95%B4-24%E6%99%82%E9%96%93%E9%80%A3%E7%B6%9A%E7%A8%BC%E5%83%8D-%E5%90%B9%E5%87%BA%E5%8F%A3360%C2%B0/dp/B0CCP968PT/ref=sr_1_1_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=1ZJFJG29JMNI9&dib=eyJ2IjoiMSJ9.SXxn4lYj0QFHzBuoX9uDKIE7aqKfQPfZmMsveZfce1dP6NwhuwgsKSzVsQJV-iLuiB-uBOwkbcp-VxJccSVt_LPWziynAvD8NEC1NQc5VnFqRys-79ozyDz7IliG0WYdVDAyu01WZXe1r5dnY5Dbsyrnra9u3KPZgdEEV_1elBWJbV1erZ8ANMiOgF8vzb9iFw70VUcNgCfdu1tTwiklEW9CcfP9VLWlK1HWLbCiQg3NJvTLuOjNGwT_6UFkDjszWsMzK3R76X53Nnx-FV5hyQ6bx1TCCqG_EBJbGlfuGas.bFA-AP-JnDMOEN9zXXS_MoAmoa4hyXJoDNTM457_rCI&dib_tag=se&keywords=%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC&qid=1710656610&sprefix=%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC+%2Caps%2C163&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/61HOb+st4yL._AC_SY879_.jpg	4500	インテリア	4	2	5	5	3	4	4	3	3	2	1	1	3	3	4	4	4	3	1
2024/03/17 15:29:06	ネスカフェ ゴールドブレンド バリスタ フィフティ	https://www.amazon.co.jp/%E3%80%90Amazon-co-jp%E9%99%90%E5%AE%9A%E3%80%91%E3%83%8D%E3%82%B9%E3%82%AB%E3%83%95%E3%82%A7-%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%96%E3%83%AC%E3%83%B3%E3%83%89-%E3%83%90%E3%83%AA%E3%82%B9%E3%82%BF-SPM9639-%E3%83%8D%E3%82%B9%E3%82%AB%E3%83%95%E3%82%A7/dp/B0B3QPSNBM/ref=sr_1_2_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=A8XLV9GPHVMR&dib=eyJ2IjoiMSJ9.Y711HGzwkRcI-5k-CWRgiRfiLdyk839oSgf06Ar_GxfBaU5K3ZRWgkXtFModQB_udZi96xBg8BVOjDmRm3mS2oEQfcIgzqs2k1CrIKvXkGzg6gJlFawLSqPuBTooo8q-CiAhno_JXyqliJ_qDKsiCkf2z4ACGI8b8B4rxWc9pi9XMuxKBCEBVcG2yU-7nvqwkLubgVJ6KC6A6JpmCrSJrKDEPGRaYLhBoAvhbMCdaGv6mZUMSdONM_Gy-Z5cMun-VCi6_9YUw3WWBGrCCj8w6S2n_Y4IpbkU6oL6mAB0V8U.h_WYVfk3m27hHG35X9SJ2fAo-u8g99gFQ-aj1IvxZ9M&dib_tag=se&keywords=%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC&qid=1710656772&sprefix=%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC+%2Caps%2C191&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/61gSszf6UxL._AC_SX679_.jpg	11677	趣味・ライフスタイル雑貨	3	2	5	4	3	3	5	2	2	4	1	1	3	3	4	3	5	3	1
2024/03/17 15:31:40	PlayStation 5(CFI-2000A01)	https://www.amazon.co.jp/%E3%82%BD%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88-PlayStation-5-CFI-2000A01/dp/B0CKYM15RJ/ref=sr_1_2?crid=1BN5KQ2I3KJJ9&dib=eyJ2IjoiMSJ9.N2oGcDEOGDz9xpjXbk0CoQiDzGMoCi8mY6Ky01ucLtKAHpfqlV8zL_7Tg--KmbWqWVRbUkwQPQN2cl6AVKt1CrYBCYzkjqqAa4h0geB81XAFC6Vltblg56P6pEKwNEYdpR8IgNOWYbXQgNtIoCCUj540R6p-hiPd-iVd9jRDhFBR9J40Wh4W-U6rvovB5qh1nJOPRj-er_dTbx459oW2tQzofhx1MFXbhi7Ec5_4gJvh6YbDv3fUGOKOl98Fb59E0sCdRTXpx4D6Qq6mX9h77hdgwSZccCohu3qB6VEjhH4.gIXN-M402OEVs-RjNuKPZJIF-5HbnbzVKrE_a0d1MHM&dib_tag=se&keywords=ps5&qid=1710657036&sprefix=%EF%BD%90%2Caps%2C181&sr=8-2&th=1	https://m.media-amazon.com/images/I/517hCmftoEL._AC_SX679_.jpg	66980	趣味・ライフスタイル雑貨	5	1	5	5	4	5	5	3	5	4	1	1	5	4	5	5	5	5	1
2024/03/17 15:33:46	Holy Stone ドローン カメラ付き 100g未満 GPS搭載 申請不要 屋外 小型 1080Pカメラ バッテリー3個 42分飛行時間 自動帰還 フォローミーモード ウェイポイントモード 誕生日ギフト HS155	https://www.amazon.co.jp/Holy-Stone-1080P%E3%82%AB%E3%83%A1%E3%83%A9-%E3%83%95%E3%82%A9%E3%83%AD%E3%83%BC%E3%83%9F%E3%83%BC%E3%83%A2%E3%83%BC%E3%83%89-%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88%E3%83%A2%E3%83%BC%E3%83%89/dp/B0CHP3HWD4/ref=sr_1_2_sspa?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2ER5YV4IS7F58&dib=eyJ2IjoiMSJ9._Ck3vKUJlJMcSrFVBsseHIPBtbkoFvm6ZVH-ZenwUr6TySJVcSaA0AgL5jqzJrMHrQ36YfxFcWt2G2YZ0UBSJtLB98nevgzIwIIiVHjl8nVAeofFSvALSQ2Sxg3qEaCSsVjJmsP-zPPtD4IC1kofwLgUWoQQqqA8tjnC_wDRDLUGynd5GeBgipo8HsW792xFY-XyWh5oO_GmfI46KBYAMW84lMdtidNij_bUaQ6uVyR_N_cCP4Jen5IOJvgPGj2Xf31vWZEPk6PRJm7FFpgNMndPAm9ezDyx61ifiCDBn5o.84IDuAKCnPyUiFVdB99uVqwT9WAYWFb25Qe8Z6HYrSI&dib_tag=se&keywords=%E3%83%89%E3%83%AD%E3%83%BC%E3%83%B3&qid=1710657179&sprefix=%E3%83%89%E3%83%AD%E3%83%BC%E3%83%B3%2Caps%2C168&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1	https://m.media-amazon.com/images/I/71j6SetwuyL._AC_SX425_.jpg	18820	趣味・ライフスタイル雑貨	4	1	4	5	4	5	4	2	4	3	1	1	4	5	4	4	5	5	1
2024/03/17 15:35:20	RIESS ツールセット マルチ 1kg クックブックRiessエナメル 1960-000	https://www.amazon.co.jp/RIESS-%E3%83%84%E3%83%BC%E3%83%AB%E3%82%BB%E3%83%83%E3%83%88-%E3%83%9E%E3%83%AB%E3%83%81-%E3%82%AF%E3%83%83%E3%82%AF%E3%83%96%E3%83%83%E3%82%AFRiess%E3%82%A8%E3%83%8A%E3%83%A1%E3%83%AB-1960-000/dp/B07H8QPN96/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=3CI3MTFLQLC00&dib=eyJ2IjoiMSJ9.L96ljMRIFxVvwXZ-fAtHQMh70QRrUgSYvFlYx2oKqL9m4z_xd3LRYsp2NvuZaYztOGua_nPJbQ206aEHJC9_fNzzL4_yNJiWgmHwbLNMR2RA_k4GOripzXU7frbYxJE9h-iR70CHrsL6RpuM3i8-KstcLMMcre20pnyN6gG9iO7Tyif7aZekEMjL05M54Aw9msPAlW270v8lum0bo2_hp3uAqXcOZxdchzVMfTQjxFNj1TY32XF_4CwoeUsobzglLzpbK4lCGRmwGlDwQdO8c-V1WfGLK7nPFbegszNQJ4I.eLyPS3zBejB_6_r8rTZuR9EZGD-XjtuijETBKRgZ73c&dib_tag=se&keywords=%E3%82%AF%E3%83%83%E3%82%AF%E3%83%96%E3%83%83%E3%82%AF%E3%82%BB%E3%83%83%E3%83%88&qid=1710657245&sprefix=%E3%82%AF%E3%83%83%E3%82%AF%E3%83%96%E3%83%83%E3%82%AF%E3%82%BB%E3%83%83%E3%83%88%2Caps%2C161&sr=8-1	https://m.media-amazon.com/images/I/710ngQhKbJS._AC_SX679_.jpg	3425	食品・スイーツ	4	5	5	2	3	3	4	4	3	1	3	3	3	1	1	3	3	3	4
